humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,bot_fraction,bot_placement,factcheck_fraction,run,cascade
291,0.2508591065292096,0.7216494845360825,0.13745704467353953,0.3848797250859107,34,7,0.03,random,0.0,0,True
291,0.16494845360824742,0.5807560137457045,0.10996563573883161,0.281786941580756,20,3,0.03,random,0.0,1,False
291,0.1718213058419244,0.5498281786941581,0.13058419243986255,0.23711340206185566,15,7,0.03,random,0.0,2,False
291,0.1718213058419244,0.5773195876288659,0.08934707903780069,0.281786941580756,20,5,0.03,random,0.0,3,False
291,0.16838487972508592,0.5773195876288659,0.10652920962199312,0.2542955326460481,18,4,0.03,random,0.0,4,False
291,0.15807560137457044,0.563573883161512,0.08934707903780069,0.3230240549828179,17,6,0.03,random,0.0,5,False
291,0.12027491408934708,0.436426116838488,0.07903780068728522,0.2268041237113402,9,6,0.03,random,0.0,6,False
291,0.2268041237113402,0.6941580756013745,0.140893470790378,0.32989690721649484,17,11,0.03,random,0.0,7,True
291,0.16151202749140894,0.5223367697594502,0.08934707903780069,0.24398625429553264,19,3,0.03,random,0.0,8,False
291,0.10996563573883161,0.5120274914089347,0.05154639175257732,0.27491408934707906,17,5,0.03,random,0.0,9,False
291,0.14432989690721648,0.5360824742268041,0.061855670103092786,0.28865979381443296,15,5,0.03,random,0.0,10,False
291,0.23367697594501718,0.6769759450171822,0.13402061855670103,0.35051546391752575,18,7,0.03,random,0.0,11,True
291,0.24054982817869416,0.7731958762886598,0.13745704467353953,0.3539518900343643,28,6,0.03,random,0.0,12,True
291,0.15120274914089346,0.5292096219931272,0.07903780068728522,0.30927835051546393,10,4,0.03,random,0.0,13,False
291,0.25773195876288657,0.7044673539518901,0.19931271477663232,0.24742268041237114,24,5,0.03,random,0.0,14,True
291,0.13058419243986255,0.5120274914089347,0.07216494845360824,0.24742268041237114,10,5,0.03,random,0.0,15,False
291,0.19243986254295534,0.6048109965635738,0.10652920962199312,0.32646048109965636,15,3,0.03,random,0.0,16,False
291,0.18900343642611683,0.5738831615120275,0.1134020618556701,0.2920962199312715,18,4,0.03,random,0.0,17,False
291,0.1718213058419244,0.6013745704467354,0.1134020618556701,0.2268041237113402,15,7,0.03,random,0.0,18,False
291,0.1718213058419244,0.4948453608247423,0.10309278350515463,0.2268041237113402,14,4,0.03,random,0.0,19,False
291,0.17525773195876287,0.5360824742268041,0.10652920962199312,0.24054982817869416,17,3,0.03,random,0.0,20,False
291,0.17525773195876287,0.5257731958762887,0.10309278350515463,0.24398625429553264,10,4,0.03,random,0.0,21,False
291,0.17525773195876287,0.5807560137457045,0.09965635738831616,0.2542955326460481,18,6,0.03,random,0.0,22,False
291,0.15463917525773196,0.6288659793814433,0.09621993127147767,0.26804123711340205,21,5,0.03,random,0.0,23,False
291,0.2268041237113402,0.6907216494845361,0.14432989690721648,0.3127147766323024,21,6,0.03,random,0.0,24,True
291,0.1718213058419244,0.5498281786941581,0.10652920962199312,0.2542955326460481,16,5,0.03,random,0.0,25,False
291,0.13745704467353953,0.5154639175257731,0.0859106529209622,0.21993127147766323,12,4,0.03,random,0.0,26,False
291,0.20962199312714777,0.7010309278350515,0.1134020618556701,0.3711340206185567,20,3,0.03,random,0.0,27,True
291,0.17525773195876287,0.5601374570446735,0.08247422680412371,0.27147766323024053,17,5,0.03,random,0.0,28,False
291,0.14776632302405499,0.5601374570446735,0.08934707903780069,0.29896907216494845,18,3,0.03,random,0.0,29,False
291,0.40893470790378006,0.9106529209621993,0.21993127147766323,0.5807560137457045,49,5,0.03,hubs,0.0,0,True
291,0.38144329896907214,0.872852233676976,0.2611683848797251,0.49140893470790376,37,4,0.03,hubs,0.0,1,True
291,0.35051546391752575,0.8556701030927835,0.21993127147766323,0.5085910652920962,33,4,0.03,hubs,0.0,2,True
291,0.3745704467353952,0.8865979381443299,0.21649484536082475,0.5601374570446735,41,3,0.03,hubs,0.0,3,True
291,0.3848797250859107,0.9037800687285223,0.19931271477663232,0.5979381443298969,49,4,0.03,hubs,0.0,4,True
291,0.3436426116838488,0.8625429553264605,0.23711340206185566,0.5223367697594502,37,3,0.03,hubs,0.0,5,True
291,0.422680412371134,0.9175257731958762,0.3230240549828179,0.45017182130584193,32,3,0.03,hubs,0.0,6,True
291,0.44329896907216493,0.9175257731958762,0.3230240549828179,0.43986254295532645,44,5,0.03,hubs,0.0,7,True
291,0.35051546391752575,0.872852233676976,0.21993127147766323,0.5429553264604811,39,3,0.03,hubs,0.0,8,True
291,0.4261168384879725,0.9175257731958762,0.26804123711340205,0.5532646048109966,56,4,0.03,hubs,0.0,9,True
291,0.3917525773195876,0.8831615120274914,0.29553264604810997,0.4536082474226804,39,4,0.03,hubs,0.0,10,True
291,0.43986254295532645,0.9037800687285223,0.30927835051546393,0.4639175257731959,46,3,0.03,hubs,0.0,11,True
291,0.35738831615120276,0.845360824742268,0.21993127147766323,0.5189003436426117,35,3,0.03,hubs,0.0,12,True
291,0.44329896907216493,0.9312714776632303,0.27491408934707906,0.5738831615120275,47,3,0.03,hubs,0.0,13,True
291,0.45017182130584193,0.9209621993127147,0.32646048109965636,0.47766323024054985,46,5,0.03,hubs,0.0,14,True
291,0.5085910652920962,0.9312714776632303,0.35051546391752575,0.5154639175257731,51,3,0.03,hubs,0.0,15,True
291,0.3848797250859107,0.9072164948453608,0.2268041237113402,0.5670103092783505,51,3,0.03,hubs,0.0,16,True
291,0.3539518900343643,0.872852233676976,0.24398625429553264,0.5292096219931272,36,3,0.03,hubs,0.0,17,True
291,0.3848797250859107,0.8865979381443299,0.27147766323024053,0.4879725085910653,34,3,0.03,hubs,0.0,18,True
291,0.38144329896907214,0.9072164948453608,0.22336769759450173,0.6013745704467354,52,3,0.03,hubs,0.0,19,True
291,0.35738831615120276,0.8797250859106529,0.23367697594501718,0.5429553264604811,36,3,0.03,hubs,0.0,20,True
291,0.3333333333333333,0.865979381443299,0.19931271477663232,0.5567010309278351,37,3,0.03,hubs,0.0,21,True
291,0.3917525773195876,0.8762886597938144,0.2542955326460481,0.5463917525773195,38,4,0.03,hubs,0.0,22,True
291,0.47766323024054985,0.9278350515463918,0.3470790378006873,0.44329896907216493,38,6,0.03,hubs,0.0,23,True
291,0.4020618556701031,0.872852233676976,0.2542955326460481,0.5085910652920962,40,4,0.03,hubs,0.0,24,True
291,0.36769759450171824,0.8831615120274914,0.23367697594501718,0.5601374570446735,40,4,0.03,hubs,0.0,25,True
291,0.43986254295532645,0.9209621993127147,0.27491408934707906,0.5670103092783505,58,3,0.03,hubs,0.0,26,True
291,0.36082474226804123,0.8556701030927835,0.24742268041237114,0.5189003436426117,38,4,0.03,hubs,0.0,27,True
291,0.3711340206185567,0.8865979381443299,0.2542955326460481,0.5189003436426117,41,3,0.03,hubs,0.0,28,True
291,0.37800687285223367,0.8831615120274914,0.24398625429553264,0.5532646048109966,39,4,0.03,hubs,0.0,29,True
291,0.14432989690721648,0.5567010309278351,0.08247422680412371,0.2542955326460481,19,5,0.03,periphery,0.0,0,False
291,0.16838487972508592,0.6323024054982818,0.09621993127147767,0.30584192439862545,17,8,0.03,periphery,0.0,1,False
291,0.10309278350515463,0.38831615120274915,0.041237113402061855,0.20618556701030927,9,3,0.03,periphery,0.0,2,False
291,0.11683848797250859,0.4639175257731959,0.054982817869415807,0.27147766323024053,8,4,0.03,periphery,0.0,3,False
291,0.2027491408934708,0.6494845360824743,0.11683848797250859,0.27491408934707906,28,6,0.03,periphery,0.0,4,True
