humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,bot_fraction,factcheck_fraction,run,cascade,scenario
285,0.23508771929824562,0.6807017543859649,0.12280701754385964,0.37894736842105264,13,4,0.05,0.0,0,True,5% ботов-усилителей
285,0.22456140350877193,0.7192982456140351,0.09824561403508772,0.47368421052631576,31,4,0.05,0.0,1,True,5% ботов-усилителей
285,0.19649122807017544,0.6,0.13333333333333333,0.2736842105263158,14,3,0.05,0.0,2,False,5% ботов-усилителей
285,0.14385964912280702,0.5157894736842106,0.08421052631578947,0.27017543859649124,14,3,0.05,0.0,3,False,5% ботов-усилителей
285,0.19649122807017544,0.624561403508772,0.10877192982456141,0.32280701754385965,26,4,0.05,0.0,4,False,5% ботов-усилителей
285,0.21052631578947367,0.631578947368421,0.15087719298245614,0.28771929824561404,19,6,0.05,0.0,5,True,5% ботов-усилителей
285,0.22456140350877193,0.6912280701754386,0.15087719298245614,0.2912280701754386,20,4,0.05,0.0,6,True,5% ботов-усилителей
285,0.24912280701754386,0.7052631578947368,0.13333333333333333,0.4,36,4,0.05,0.0,7,True,5% ботов-усилителей
285,0.256140350877193,0.743859649122807,0.17543859649122806,0.34385964912280703,32,4,0.05,0.0,8,True,5% ботов-усилителей
285,0.17192982456140352,0.5508771929824562,0.11929824561403508,0.24210526315789474,10,6,0.05,0.0,9,False,5% ботов-усилителей
285,0.21052631578947367,0.5964912280701754,0.15789473684210525,0.23859649122807017,17,4,0.05,0.0,10,True,5% ботов-усилителей
285,0.27017543859649124,0.7578947368421053,0.18596491228070175,0.3087719298245614,35,4,0.05,0.0,11,True,5% ботов-усилителей
285,0.29473684210526313,0.8035087719298246,0.17543859649122806,0.43859649122807015,35,6,0.05,0.0,12,True,5% ботов-усилителей
285,0.23859649122807017,0.7263157894736842,0.12982456140350876,0.45964912280701753,28,3,0.05,0.0,13,True,5% ботов-усилителей
285,0.24561403508771928,0.712280701754386,0.14736842105263157,0.3824561403508772,24,5,0.05,0.0,14,True,5% ботов-усилителей
285,0.1649122807017544,0.6385964912280702,0.08070175438596491,0.3157894736842105,21,5,0.05,0.0,15,False,5% ботов-усилителей
285,0.20350877192982456,0.656140350877193,0.09473684210526316,0.41754385964912283,22,6,0.05,0.0,16,True,5% ботов-усилителей
285,0.21052631578947367,0.631578947368421,0.13333333333333333,0.3368421052631579,24,5,0.05,0.0,17,True,5% ботов-усилителей
285,0.2,0.6421052631578947,0.11228070175438597,0.32280701754385965,20,4,0.05,0.0,18,False,5% ботов-усилителей
285,0.1649122807017544,0.6035087719298246,0.09473684210526316,0.32280701754385965,24,3,0.05,0.0,19,False,5% ботов-усилителей
285,0.28421052631578947,0.7719298245614035,0.18596491228070175,0.34385964912280703,31,5,0.05,0.0,20,True,5% ботов-усилителей
285,0.1824561403508772,0.5508771929824562,0.08070175438596491,0.3087719298245614,21,5,0.05,0.0,21,False,5% ботов-усилителей
285,0.18596491228070175,0.5473684210526316,0.10877192982456141,0.2912280701754386,15,6,0.05,0.0,22,False,5% ботов-усилителей
285,0.23508771929824562,0.6491228070175439,0.12631578947368421,0.34385964912280703,22,4,0.05,0.0,23,True,5% ботов-усилителей
285,0.22456140350877193,0.6771929824561403,0.11578947368421053,0.3824561403508772,26,5,0.05,0.0,24,True,5% ботов-усилителей
285,0.27017543859649124,0.7368421052631579,0.18947368421052632,0.2982456140350877,22,3,0.05,0.0,25,True,5% ботов-усилителей
285,0.25263157894736843,0.7192982456140351,0.1543859649122807,0.34385964912280703,20,3,0.05,0.0,26,True,5% ботов-усилителей
285,0.25263157894736843,0.7614035087719299,0.15789473684210525,0.3824561403508772,23,3,0.05,0.0,27,True,5% ботов-усилителей
285,0.23157894736842105,0.7017543859649122,0.12982456140350876,0.3929824561403509,25,2,0.05,0.0,28,True,5% ботов-усилителей
285,0.2596491228070175,0.7789473684210526,0.13333333333333333,0.43859649122807015,34,4,0.05,0.0,29,True,5% ботов-усилителей
