step,unaware,rumor_believers,correction,rumor_active,correction_active,rumor_reach,exposed,rumor_reach_frac,correction_frac
0,278,1,0,1,0,1,1,0.0035842293906810036,0.0
1,249,6,4,6,4,6,30,0.021505376344086023,0.014336917562724014
2,208,13,13,13,11,14,71,0.05017921146953405,0.04659498207885305
3,170,16,30,16,15,20,109,0.07168458781362007,0.10752688172043011
4,161,18,42,16,12,25,118,0.08960573476702509,0.15053763440860216
5,151,20,56,13,6,30,128,0.10752688172043011,0.2007168458781362
6,141,21,62,11,9,33,138,0.11827956989247312,0.2222222222222222
7,135,21,70,7,10,34,144,0.12186379928315412,0.25089605734767023
8,132,20,74,5,5,35,147,0.12544802867383512,0.26523297491039427
9,130,22,74,4,2,37,149,0.13261648745519714,0.26523297491039427
10,127,24,74,5,1,39,152,0.13978494623655913,0.26523297491039427
11,125,23,75,4,0,39,154,0.13978494623655913,0.26881720430107525
12,123,25,75,4,0,41,156,0.14695340501792115,0.26881720430107525
13,121,25,76,2,0,41,158,0.14695340501792115,0.2724014336917563
14,119,27,78,4,1,43,160,0.15412186379928317,0.27956989247311825
15,115,30,79,5,2,46,164,0.16487455197132617,0.2831541218637993
16,115,29,84,6,2,47,164,0.16845878136200718,0.3010752688172043
17,112,32,84,7,2,50,167,0.17921146953405018,0.3010752688172043
18,111,32,84,4,0,50,168,0.17921146953405018,0.3010752688172043
19,109,32,84,3,0,50,170,0.17921146953405018,0.3010752688172043
20,107,35,84,3,0,53,172,0.18996415770609318,0.3010752688172043
21,106,35,84,3,0,53,173,0.18996415770609318,0.3010752688172043
22,104,35,84,3,0,53,175,0.18996415770609318,0.3010752688172043
23,104,35,84,0,0,53,175,0.18996415770609318,0.3010752688172043
24,104,35,84,0,0,53,175,0.18996415770609318,0.3010752688172043
25,104,35,84,0,0,53,175,0.18996415770609318,0.3010752688172043
26,104,36,84,1,0,54,175,0.1935483870967742,0.3010752688172043
27,104,36,84,1,0,54,175,0.1935483870967742,0.3010752688172043
28,104,36,84,1,0,54,175,0.1935483870967742,0.3010752688172043
29,104,36,84,0,0,54,175,0.1935483870967742,0.3010752688172043
30,104,36,84,0,0,54,175,0.1935483870967742,0.3010752688172043
31,104,36,84,0,0,54,175,0.1935483870967742,0.3010752688172043
32,104,37,84,1,0,55,175,0.1971326164874552,0.3010752688172043
33,104,37,85,1,1,55,175,0.1971326164874552,0.3046594982078853
34,104,38,86,3,1,57,175,0.20430107526881722,0.30824372759856633
35,103,38,87,2,1,57,176,0.20430107526881722,0.3118279569892473
36,103,38,87,2,0,57,176,0.20430107526881722,0.3118279569892473
37,103,38,87,0,0,57,176,0.20430107526881722,0.3118279569892473
38,103,39,87,1,0,58,176,0.2078853046594982,0.3118279569892473
39,103,39,87,1,0,58,176,0.2078853046594982,0.3118279569892473
40,103,40,87,2,0,59,176,0.2114695340501792,0.3118279569892473
41,103,40,88,1,1,59,176,0.2114695340501792,0.3154121863799283
42,103,40,88,1,1,59,176,0.2114695340501792,0.3154121863799283
43,103,40,88,0,1,59,176,0.2114695340501792,0.3154121863799283
44,103,40,88,0,0,59,176,0.2114695340501792,0.3154121863799283
45,103,40,88,0,0,59,176,0.2114695340501792,0.3154121863799283
46,103,40,88,0,0,59,176,0.2114695340501792,0.3154121863799283
47,103,40,88,0,0,59,176,0.2114695340501792,0.3154121863799283
48,103,40,88,0,0,59,176,0.2114695340501792,0.3154121863799283
49,103,40,88,0,0,59,176,0.2114695340501792,0.3154121863799283
50,103,40,88,0,0,59,176,0.2114695340501792,0.3154121863799283
