humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,network,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.05,0.3233333333333333,0.03,0.09,10,5,scale_free,0.05,0.0,0.0,3,0,False
300,0.01,0.03666666666666667,0.006666666666666667,0.023333333333333334,3,0,scale_free,0.05,0.0,0.0,3,1,False
300,0.013333333333333334,0.04666666666666667,0.01,0.02,4,1,scale_free,0.05,0.0,0.0,3,2,False
300,0.01,0.06,0.006666666666666667,0.013333333333333334,3,0,scale_free,0.05,0.0,0.0,3,3,False
300,0.01,0.06333333333333334,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.05,0.0,0.0,3,4,False
300,0.01,0.04666666666666667,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.05,0.0,0.0,3,5,False
300,0.013333333333333334,0.09333333333333334,0.0033333333333333335,0.023333333333333334,3,0,scale_free,0.05,0.0,0.0,3,6,False
300,0.01,0.023333333333333334,0.01,0.0,3,0,scale_free,0.05,0.0,0.0,3,7,False
300,0.01,0.043333333333333335,0.006666666666666667,0.013333333333333334,3,0,scale_free,0.05,0.0,0.0,3,8,False
300,0.01,0.043333333333333335,0.006666666666666667,0.016666666666666666,3,0,scale_free,0.05,0.0,0.0,3,9,False
300,0.013333333333333334,0.06666666666666667,0.01,0.006666666666666667,4,1,scale_free,0.05,0.0,0.0,3,10,False
300,0.013333333333333334,0.04666666666666667,0.01,0.01,4,1,scale_free,0.05,0.0,0.0,3,11,False
300,0.01,0.03333333333333333,0.006666666666666667,0.01,3,0,scale_free,0.05,0.0,0.0,3,12,False
300,0.02,0.12,0.013333333333333334,0.03333333333333333,3,0,scale_free,0.05,0.0,0.0,3,13,False
300,0.01,0.03333333333333333,0.006666666666666667,0.01,3,0,scale_free,0.05,0.0,0.0,3,14,False
300,0.016666666666666666,0.043333333333333335,0.016666666666666666,0.0,4,1,scale_free,0.05,0.0,0.0,3,15,False
300,0.01,0.043333333333333335,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.05,0.0,0.0,3,16,False
300,0.013333333333333334,0.06,0.01,0.006666666666666667,4,1,scale_free,0.05,0.0,0.0,3,17,False
300,0.016666666666666666,0.14,0.006666666666666667,0.03333333333333333,4,2,scale_free,0.05,0.0,0.0,3,18,False
300,0.013333333333333334,0.06,0.0033333333333333335,0.02666666666666667,4,1,scale_free,0.05,0.0,0.0,3,19,False
300,0.05333333333333334,0.34,0.023333333333333334,0.12666666666666668,5,11,scale_free,0.05,0.0,0.0,3,20,False
300,0.01,0.05,0.01,0.0,3,0,scale_free,0.05,0.0,0.0,3,21,False
300,0.023333333333333334,0.16333333333333333,0.016666666666666666,0.03333333333333333,5,2,scale_free,0.05,0.0,0.0,3,22,False
300,0.013333333333333334,0.04666666666666667,0.013333333333333334,0.0,4,2,scale_free,0.05,0.0,0.0,3,23,False
300,0.01,0.03,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.05,0.0,0.0,3,24,False
300,0.013333333333333334,0.043333333333333335,0.006666666666666667,0.013333333333333334,4,1,scale_free,0.05,0.0,0.0,3,25,False
300,0.013333333333333334,0.07666666666666666,0.01,0.006666666666666667,3,0,scale_free,0.05,0.0,0.0,3,26,False
300,0.02666666666666667,0.2833333333333333,0.013333333333333334,0.20333333333333334,4,1,scale_free,0.05,0.0,0.0,3,27,False
300,0.013333333333333334,0.043333333333333335,0.01,0.013333333333333334,3,0,scale_free,0.05,0.0,0.0,3,28,False
300,0.01,0.04,0.01,0.0,3,0,scale_free,0.05,0.0,0.0,3,29,False
300,0.06333333333333334,0.33666666666666667,0.043333333333333335,0.07666666666666666,11,5,scale_free,0.075,0.0,0.0,3,0,False
300,0.01,0.03666666666666667,0.006666666666666667,0.023333333333333334,3,0,scale_free,0.075,0.0,0.0,3,1,False
300,0.03,0.19666666666666666,0.016666666666666666,0.04666666666666667,4,1,scale_free,0.075,0.0,0.0,3,2,False
300,0.03666666666666667,0.19333333333333333,0.023333333333333334,0.08666666666666667,6,5,scale_free,0.075,0.0,0.0,3,3,False
300,0.013333333333333334,0.07,0.0033333333333333335,0.03,4,2,scale_free,0.075,0.0,0.0,3,4,False
300,0.013333333333333334,0.05,0.013333333333333334,0.0033333333333333335,4,2,scale_free,0.075,0.0,0.0,3,5,False
300,0.013333333333333334,0.09333333333333334,0.0033333333333333335,0.023333333333333334,3,0,scale_free,0.075,0.0,0.0,3,6,False
300,0.01,0.023333333333333334,0.01,0.0,3,0,scale_free,0.075,0.0,0.0,3,7,False
300,0.01,0.043333333333333335,0.006666666666666667,0.013333333333333334,3,0,scale_free,0.075,0.0,0.0,3,8,False
300,0.016666666666666666,0.1,0.01,0.03,4,2,scale_free,0.075,0.0,0.0,3,9,False
300,0.016666666666666666,0.07666666666666666,0.013333333333333334,0.006666666666666667,4,1,scale_free,0.075,0.0,0.0,3,10,False
300,0.013333333333333334,0.04666666666666667,0.01,0.01,4,1,scale_free,0.075,0.0,0.0,3,11,False
300,0.01,0.03333333333333333,0.006666666666666667,0.01,3,0,scale_free,0.075,0.0,0.0,3,12,False
300,0.02,0.12,0.013333333333333334,0.03333333333333333,3,0,scale_free,0.075,0.0,0.0,3,13,False
300,0.01,0.03333333333333333,0.006666666666666667,0.01,3,0,scale_free,0.075,0.0,0.0,3,14,False
300,0.016666666666666666,0.043333333333333335,0.016666666666666666,0.0,4,1,scale_free,0.075,0.0,0.0,3,15,False
300,0.03333333333333333,0.22333333333333333,0.02,0.05,7,2,scale_free,0.075,0.0,0.0,3,16,False
300,0.023333333333333334,0.15,0.02,0.023333333333333334,5,1,scale_free,0.075,0.0,0.0,3,17,False
300,0.02,0.15,0.01,0.06666666666666667,4,2,scale_free,0.075,0.0,0.0,3,18,False
300,0.013333333333333334,0.06,0.0033333333333333335,0.02666666666666667,4,1,scale_free,0.075,0.0,0.0,3,19,False
300,0.03666666666666667,0.23,0.016666666666666666,0.10333333333333333,6,4,scale_free,0.075,0.0,0.0,3,20,False
300,0.01,0.05,0.01,0.0,3,0,scale_free,0.075,0.0,0.0,3,21,False
300,0.03666666666666667,0.33666666666666667,0.016666666666666666,0.09333333333333334,5,2,scale_free,0.075,0.0,0.0,3,22,False
300,0.013333333333333334,0.04666666666666667,0.013333333333333334,0.0,4,2,scale_free,0.075,0.0,0.0,3,23,False
300,0.01,0.03,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.075,0.0,0.0,3,24,False
300,0.013333333333333334,0.043333333333333335,0.006666666666666667,0.013333333333333334,4,1,scale_free,0.075,0.0,0.0,3,25,False
300,0.013333333333333334,0.07666666666666666,0.01,0.01,4,1,scale_free,0.075,0.0,0.0,3,26,False
300,0.05,0.31666666666666665,0.023333333333333334,0.14,7,7,scale_free,0.075,0.0,0.0,3,27,False
300,0.013333333333333334,0.043333333333333335,0.01,0.013333333333333334,3,0,scale_free,0.075,0.0,0.0,3,28,False
300,0.01,0.04,0.01,0.0,3,0,scale_free,0.075,0.0,0.0,3,29,False
300,0.07,0.3433333333333333,0.043333333333333335,0.08666666666666667,12,5,scale_free,0.1,0.0,0.0,3,0,False
300,0.013333333333333334,0.043333333333333335,0.01,0.023333333333333334,4,1,scale_free,0.1,0.0,0.0,3,1,False
